EMD_CD,EMD_ENG_NM,EMD_KOR_NM,행정주소,법정동주소,SIDO,비행불가능여부,터미널유무,승용차,버스,혼잡강도,공항,총.인구수,세대.수,기차역.ktx역포함.여부,면적15k이상건물여부,id,long,lat,터미널과의거리,기차역과의거리,공항과의거리
26530101,Samnak-dong,삼락동,부산광역시 사상구 삼락동,부산광역시 사상구 삼락동,26,0,0,0.330112338,0.16486711,0.112244898,0,0.235995867,0.21622471,0,0,2875,128.9748882,35.17470894,2.657587448,1.856580621,3.395962096
26530102,Mora-dong,모라동,부산광역시 사상구 모라1동,부산광역시 사상구 모라동,26,0,0,0.208936278,0.094684385,0.178571429,0,0.091907505,0.132783343,0,0,2876,129.0012533,35.18473464,5.219773924,2.330998662,5.786205462
26530103,Deokpo-dong,덕포동,부산광역시 사상구 덕포1동,부산광역시 사상구 덕포동,26,0,0,0.243367606,0.051910299,0.147959184,0,0.106929267,0.109035553,0,0,2877,128.9891629,35.1746216,3.954882439,1.314627566,4.686022847
26530104,Gwaebeop-dong,괘법동,부산광역시 사상구 괘법동,부산광역시 사상구 괘법동,26,0,0,0.270246255,0.068936877,0.132653061,0,0.074279049,0.084443135,1,0,2878,128.9921924,35.16637037,4.287464941,0.484899379,5.140465511
26530105,Gamjeon-dong,감전동,부산광역시 사상구 감전동,부산광역시 사상구 감전동,26,0,0,0.26356626,0.093023256,0.142857143,0,0.166491843,0.211392654,0,0,2879,128.9824632,35.14665616,4.429309882,1.889537303,5.440644732
26530106,Jurye-dong,주례동,부산광역시 사상구 주례1동,부산광역시 사상구 주례동,26,0,0,0.294395786,0.129152824,0.265306122,0,0.188738767,0.206835592,0,0,2880,129.0042891,35.15413395,5.096518025,1.678010585,6.655372789
26530107,Hakjang-dong,학장동,부산광역시 사상구 학장동,부산광역시 사상구 학장동,26,0,0,0.25366527,0.100913621,0.178571429,0,0.161035789,0.164722059,0,0,2881,128.9883815,35.13749908,4.041181772,2.804795357,6.532973405
26530108,Eomgung-dong,엄궁동,부산광역시 사상구 엄궁동,부산광역시 사상구 엄궁동,26,0,0,0.356911653,0.125830565,0.056122449,0,0.127986348,0.126085248,0,0,2882,128.9726212,35.13561901,3.300089432,3.368848434,5.792951824
26710250,Gijang-eup,기장읍,부산광역시 기장군 기장읍,부산광역시 기장군 기장읍,26,0,1,0.143247017,0.046511628,0.173469388,0,0.434636941,0.485052053,1,1,2883,129.2054669,35.22550827,2.358869823,3.259670776,24.88165846
26710253,Jangan-eup,장안읍,부산광역시 기장군 장안읍,부산광역시 기장군 장안읍,26,1,1,0.134885123,0.0589701,0.183673469,0,0.067038232,0.086977018,1,0,2884,129.2495996,35.34830118,0.858585045,4.138852191,28.72111069
26710310,Ilgwang-myeon,일광면,부산광역시 기장군 일광면,부산광역시 기장군 일광면,26,1,1,0.147340696,0.056893688,0.224489796,0,0.066959952,0.083578865,1,0,2886,129.2210904,35.28218241,1.079853789,1.967369358,28.17360073
26710256,Jeonggwan-eup,정관읍,부산광역시 기장군 정관읍,부산광역시 기장군 정관읍,26,1,0,0.129537954,0.03820598,0.117346939,0,0.645082506,0.588018071,0,1,2885,129.1759202,35.34018348,6.257953786,6.966474484,28.04542205
26710330,Cheolma-myeon,철마면,부산광역시 기장군 철마면,부산광역시 기장군 철마면,26,1,0,0.163604341,0.070598007,0.147959184,0,0.065042114,0.073404046,0,0,2887,129.1521187,35.28109563,5.070616053,7.52341988,22.51466219
27110101,Dongin-dong 1(il)-ga,동인동1가,대구광역시 중구 동인동,대구광역시 중구 동인동1가,27,0,0,0.37725311,0.074335548,0.204081633,0,0.075930739,0.106540955,0,0,2315,128.603682,35.87239147,1.155835417,0.784517176,5.526290451
27110102,Dongin-dong 2(i)-ga,동인동2가,대구광역시 중구 동인동,대구광역시 중구 동인동2가,27,0,0,0.37725311,0.074335548,0.204081633,0,0.075930739,0.106540955,0,0,2316,128.6032086,35.86907072,0.929503261,0.990153839,5.732580438
27110103,Dongin-dong 3(sam)-ga,동인동3가,대구광역시 중구 동인동,대구광역시 중구 동인동3가,27,0,0,0.37725311,0.074335548,0.204081633,0,0.075930739,0.106540955,0,0,2317,128.6102401,35.87216172,1.649004677,1.339600756,5.010878109
27110104,Dongin-dong 4(sa)-ga,동인동4가,대구광역시 중구 동인동,대구광역시 중구 동인동4가,27,0,0,0.37725311,0.074335548,0.204081633,0,0.075930739,0.106540955,0,0,2318,128.610525,35.86772665,1.533957923,1.584173968,5.243994655
27110105,Samdeok-dong 1(il)-ga,삼덕동1가,대구광역시 중구 삼덕동,대구광역시 중구 삼덕동1가,27,0,0,0.428503427,0.088870432,0.265306122,0,0.049308013,0.068984482,0,0,2319,128.5975896,35.86612929,0.35303905,1.090460641,6.334601161
27110106,Samdeok-dong 2(i)-ga,삼덕동2가,대구광역시 중구 삼덕동,대구광역시 중구 삼덕동2가,27,0,0,0.428503427,0.088870432,0.265306122,0,0.049308013,0.068984482,0,0,2320,128.6028221,35.8654977,0.825620237,1.301416813,5.962917087
27110107,Samdeok-dong 3(sam)-ga,삼덕동3가,대구광역시 중구 삼덕동,대구광역시 중구 삼덕동3가,27,0,0,0.428503427,0.088870432,0.265306122,0,0.049308013,0.068984482,0,0,2321,128.6093044,35.86432284,1.420534362,1.749741353,5.5507237
27110108,Bongsan-dong,봉산동,대구광역시 중구 성내1동,대구광역시 중구 봉산동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2322,128.5975963,35.86345297,0.443609655,1.385759197,6.483746238
27110112,Deoksan-dong,덕산동,대구광역시 중구 성내1동,대구광역시 중구 덕산동,27,0,1,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2326,128.5928952,35.86592623,0.072219888,1.14293348,6.718571978
27110115,Sail-dong,사일동,대구광역시 중구 성내1동,대구광역시 중구 사일동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2329,128.5945511,35.87024896,0.490981578,0.641384436,6.374269054
27110117,Namil-dong,남일동,대구광역시 중구 성내1동,대구광역시 중구 남일동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2331,128.59337,35.86968336,0.423071716,0.731834292,6.497328832
27110119,Dongseongno 3(sam)-ga,동성로3가,대구광역시 중구 성내1동,대구광역시 중구 동성로3가,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2333,128.5937279,35.86763594,0.19491683,0.940622008,6.5655685
27110120,Dongmun-dong,동문동,대구광역시 중구 성내1동,대구광역시 중구 동문동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2334,128.598427,35.87202584,0.804925409,0.475824326,5.974212228
27110121,Munhwa-dong,문화동,대구광역시 중구 성내1동,대구광역시 중구 문화동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2335,128.5973769,35.87154865,0.711608547,0.494157137,6.082388926
27110122,Gongpyeong-dong,공평동,대구광역시 중구 성내1동,대구광역시 중구 공평동,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2336,128.59801,35.86962746,0.570065018,0.714785009,6.120993959
27110123,Dongseongno 2(i)-ga,동성로2가,대구광역시 중구 성내1동,대구광역시 중구 동성로2가,27,0,0,0.271594948,0.028239203,0.142857143,0,0.035844005,0.056177568,0,0,2337,128.595816,35.87016288,0.512498386,0.635531017,6.274353095
